term_set,label,pattern,attr,replace,extra1,extra2
time,month,jul,lower,July,,
time,month,jul.,lower,July,,
time,month,july,lower,July,,
time,month,jun,lower,June,,
time,month,jun.,lower,June,,
time,month,june,lower,June,,
time,month,mar,lower,March,,
time,month,mar.,lower,March,,
time,month,march,lower,March,,
time,month,may,lower,May,,
time,month,nov,lower,November,,
time,month,nov.,lower,November,,
time,month,november,lower,November,,
time,month,oct,lower,October,,
time,month,oct.,lower,October,,
time,month,october,lower,October,,
time,month,sep,lower,September,,
time,month,sep.,lower,September,,
time,month,sept,lower,September,,
time,month,sept.,lower,September,,
time,month,september,lower,September,,
time,time_units,d,lower,,,
time,time_units,day,lower,,,
time,time_units,days,lower,,,
time,time_units,hour,lower,,,
time,time_units,hours,lower,,,
time,time_units,hr,lower,,,
time,time_units,hrs,lower,,,
time,time_units,min,lower,,,
time,time_units,minute,lower,,,
time,time_units,minutes,lower,,,
time,time_units,month,lower,,,
time,time_units,months,lower,,,
time,time_units,s,lower,,,
time,time_units,sec,lower,,,
time,time_units,second,lower,,,
time,time_units,seconds,lower,,,
time,time_units,year,lower,,,
time,time_units,years,lower,,,
time,time_units,yr,lower,,,
time,time_units,yrs,lower,,,
units,imperial_length,feet,lower,ft,30.48,
units,imperial_length,foot,lower,ft,30.48,
units,imperial_length,ft,lower,ft,30.48,
units,imperial_length,ft.,lower,ft,30.48,
units,imperial_length,in,lower,in,2.54,
units,imperial_length,in .,lower,in,2.54,
units,imperial_length,in.,lower,in,2.54,
units,imperial_length,inch,lower,in,2.54,
units,imperial_length,inches,lower,in,2.54,
units,imperial_length,mi,lower,mi,160934.4,
units,imperial_length,mi .,lower,mi,160934.4,
units,imperial_length,mi.,lower,mi,160934.4,
units,imperial_length,mile,lower,mi,160934.4,
units,imperial_length,miles,lower,mi,160934.4,
units,imperial_mass,ounce,lower,oz,28.34952,
units,imperial_mass,ounces,lower,oz,28.34952,
units,imperial_mass,oz,lower,oz,28.34952,
units,imperial_mass,ozs,lower,oz,28.34952,
units,imperial_mass,pound,lower,lbs,453.5924,
units,imperial_mass,pounds,lower,lbs,453.5924,
units,metric_length,centimeters,lower,cm,1.0,
units,metric_length,cm,lower,cm,1.0,
units,metric_length,cm .,lower,cm,1.0,
units,metric_length,cm.,lower,cm,1.0,
units,metric_length,decimeters,lower,dm,10.0,
units,metric_length,dm,lower,dm,10.0,
units,metric_length,dm .,lower,dm,10.0,
units,metric_length,dm.,lower,dm,10.0,
units,metric_length,kilometer,lower,km,100000.0,
units,metric_length,kilometers,lower,km,100000.0,
units,metric_length,km,lower,km,100000.0,
units,metric_length,km .,lower,km,100000.0,
units,metric_length,km.,lower,km,100000.0,
units,metric_length,m,lower,m,100.0,
units,metric_length,m .,lower,m,100.0,
units,metric_length,m.,lower,m,100.0,
units,metric_length,meter,lower,m,100.0,
units,metric_length,meters,lower,m,100.0,
units,metric_length,metre,lower,m,100.0,
units,metric_length,metres,lower,m,100.0,
units,metric_length,millimeters,lower,mm,0.1,
units,metric_length,mm,lower,mm,0.1,
units,metric_length,mm .,lower,mm,0.1,
units,metric_length,mm.,lower,mm,0.1,
