term_set,label,pattern,attr,replace,inside,postal
us_locations,us_county,chatham,lower,,GA NC,
us_locations,us_county,chattahoochee,lower,,GA,
us_locations,us_county,chattooga,lower,,GA,
us_locations,us_county,chautauqua,lower,,KS NY,
us_locations,us_county,chaves,lower,,NM,
us_locations,us_county,cheatham,lower,,TN,
us_locations,us_county,cheboygan,lower,,MI,
us_locations,us_county,chelan,lower,,WA,
us_locations,us_county,chemung,lower,,NY,
us_locations,us_county,chenango,lower,,NY,
us_locations,us_county,cherokee,lower,,AL GA IA KS NC OK SC TX,
us_locations,us_county,cherry,lower,,NE,
us_locations,us_county,chesapeake,lower,,VA,
us_locations,us_county,cheshire,lower,,NH,
us_locations,us_county,chester,lower,,PA SC TN,
us_locations,us_county,chesterfield,lower,,SC VA,
us_locations,us_county,cheyenne,lower,,CO KS NE,
us_locations,us_county,chickasaw,lower,,IA MS,
us_locations,us_county,chicot,lower,,AR,
us_locations,us_county,childress,lower,,TX,
us_locations,us_county,chilton,lower,,AL,
us_locations,us_county,chippewa,lower,,MI MN WI,
us_locations,us_county,chisago,lower,,MN,
us_locations,us_county,chittenden,lower,,VT,
us_locations,us_county,choctaw,lower,,AL MS OK,
us_locations,us_county,chouteau,lower,,MT,
us_locations,us_county,chowan,lower,,NC,
us_locations,us_county,christian,lower,,IL KY MO,
us_locations,us_county,churchill,lower,,NV,
us_locations,us_county,cibola,lower,,NM,
us_locations,us_county,cimarron,lower,,OK,
us_locations,us_county,citrus,lower,,FL,
us_locations,us_county,clackamas,lower,,OR,
us_locations,us_county,claiborne,lower,,LA MS TN,
us_locations,us_county,clallam,lower,,WA,
us_locations,us_county,clare,lower,,MI,
us_locations,us_county,clarendon,lower,,SC,
us_locations,us_county,clarion,lower,,PA,
us_locations,us_county,clark,lower,,AR ID IL IN KS KY MO NV OH SD WA WI,
us_locations,us_county,clarke,lower,,AL GA IA MS VA,
us_locations,us_county,clatsop,lower,,OR,
us_locations,us_county,clay,lower,,AL AR FL GA IL IN IA KS KY MN MS MO NE NC SD TN TX WV,
us_locations,us_county,clayton,lower,,GA IA,
us_locations,us_county,clear creek,lower,,CO,
us_locations,us_county,clearfield,lower,,PA,
us_locations,us_county,clearwater,lower,,ID MN,
us_locations,us_county,cleburne,lower,,AL AR,
us_locations,us_county,clermont,lower,,OH,
us_locations,us_county,cleveland,lower,,AR NC OK,
us_locations,us_county,clifton forge,lower,,VA,
us_locations,us_county,clinch,lower,,GA,
us_locations,us_county,clinton,lower,,IL IN IA KY MI MO NY OH PA,
