label,pattern,attr,replace,inside,postal
us_county,hardin,lower,,IL IA KY OH TN TX,
us_county,harding,lower,,NM SD,
us_county,hardy,lower,,WV,
us_county,harford,lower,,MD,
us_county,harlan,lower,,KY NE,
us_county,harmon,lower,,OK,
us_county,harnett,lower,,NC,
us_county,harney,lower,,OR,
us_county,harper,lower,,KS OK,
us_county,harris,lower,,GA TX,
us_county,harrison,lower,,IN IA KY MS MO OH TX WV,
us_county,harrisonburg,lower,,VA,
us_county,hart,lower,,GA KY,
us_county,hartford,lower,,CT,
us_county,hartley,lower,,TX,
us_county,harvey,lower,,KS,
us_county,haskell,lower,,KS OK TX,
us_county,hawkins,lower,,TN,
us_county,hayes,lower,,NE,
us_county,hays,lower,,TX,
us_county,haywood,lower,,NC TN,
us_county,heard,lower,,GA,
us_county,hemphill,lower,,TX,
us_county,hempstead,lower,,AR,
us_county,henderson,lower,,IL KY NC TN TX,
us_county,hendricks,lower,,IN,
us_county,hendry,lower,,FL,
us_county,hennepin,lower,,MN,
us_county,henrico,lower,,VA,
us_county,henry,lower,,AL GA IL IN IA KY MO OH TN VA,
us_county,herkimer,lower,,NY,
us_county,hernando,lower,,FL,
us_county,hertford,lower,,NC,
us_county,hettinger,lower,,ND,
us_county,hickman,lower,,KY TN,
us_county,hickory,lower,,MO,
us_county,hidalgo,lower,,NM TX,
us_county,highland,lower,,OH VA,
us_county,highlands,lower,,FL,
us_county,hill,lower,,MT TX,
us_county,hillsborough,lower,,FL NH,
us_county,hillsdale,lower,,MI,
us_county,hinds,lower,,MS,
us_county,hinsdale,lower,,CO,
us_county,hitchcock,lower,,NE,
us_county,hocking,lower,,OH,
us_county,hockley,lower,,TX,
us_county,hodgeman,lower,,KS,
us_county,hoke,lower,,NC,
us_county,holmes,lower,,FL MS OH,
us_county,holt,lower,,MO NE,
us_county,honolulu,lower,,HI,
us_county,hood,lower,,TX,
us_county,hood river,lower,,OR,
us_county,hooker,lower,,NE,
us_county,hoonah-angoon,lower,,AK,
us_county,hopewell,lower,,VA,
us_county,hopkins,lower,,KY TX,
us_county,horry,lower,,SC,
us_county,hot spring,lower,,AR,
us_county,hot springs,lower,,WY,
us_county,houghton,lower,,MI,
us_county,houston,lower,,AL GA MN TN TX,
